epoch,loss,val_roc_auc,val_pr_auc,val_acc@0
1,0.7033970355987549,0.5186267348429511,0.025290336218204375,0.21197668256491786
2,0.6924042105674744,0.533864134404675,0.028525979031227052,0.3449920508744038
3,0.6869047284126282,0.535836376917458,0.02981293661109466,0.4764175940646529
4,0.6798190474510193,0.5401168736303872,0.029587100488396426,0.5771065182829889
5,0.6667762398719788,0.541709276844412,0.030001161678682223,0.6364599894011659
6,0.6687414646148682,0.5472899926953981,0.0323348795172661,0.6650768415474297
7,0.6457184553146362,0.5522132943754565,0.03416689049809253,0.6677265500794912
8,0.6401150226593018,0.559035792549306,0.035166962555752614,0.6544780074191839
9,0.6338099837303162,0.563754565376187,0.03618447980629282,0.6375198728139905
10,0.6225892305374146,0.5697589481373265,0.038062469936988835,0.6343402225755167
11,0.6022708415985107,0.5746530314097882,0.03789619670246708,0.6306306306306306
12,0.618603527545929,0.5703140978816654,0.03910381882038204,0.6534181240063593
13,0.5797192454338074,0.5657852447041636,0.04085263548215859,0.6788553259141494
14,0.5799450278282166,0.5613294375456538,0.04383654426160748,0.7186009538950715
15,0.5595459342002869,0.5553250547845142,0.04532870857475255,0.7641759406465288
16,0.5923141837120056,0.5496712929145362,0.04531038195474628,0.8065712771595125
17,0.5565454959869385,0.5470562454346238,0.0483449754205337,0.8362480127186009
18,0.5478188991546631,0.5429218407596785,0.047389000857853955,0.8563857975622682
19,0.5259718894958496,0.5411395178962747,0.0472154358426314,0.8569157392686805
20,0.5124896764755249,0.5372242512783054,0.045826641307722946,0.8494965553789083
21,0.5074820518493652,0.5370635500365231,0.045217342413358085,0.8383677795442501
22,0.5181049108505249,0.5386267348429511,0.04476802526625727,0.8261791202967673
23,0.4857853949069977,0.5402191380569759,0.04315207594271512,0.8118706942236354
24,0.47624480724334717,0.5435062089116143,0.042073020717645314,0.8002119766825649
25,0.5099755525588989,0.54899926953981,0.04236063938128583,0.8023317435082141
26,0.44178012013435364,0.5534112490869247,0.04308074406659114,0.8044515103338633
27,0.4603942930698395,0.5565230094959825,0.04240860793214038,0.8134605193428723
28,0.438807874917984,0.5615485756026297,0.04317700299990494,0.8261791202967673
29,0.46506962180137634,0.564236669101534,0.0457664608176445,0.84525702172761
30,0.4455501139163971,0.5667932797662527,0.04722363202937893,0.8553259141494436
31,0.43496447801589966,0.5686048210372535,0.047374499799786335,0.8675145733969264
32,0.41689804196357727,0.5694521548575603,0.049349741877193175,0.8653948065712772
33,0.38187721371650696,0.5709276844411979,0.05238799883920919,0.8611552729199788
34,0.39295923709869385,0.5722132943754565,0.05461222688477464,0.8521462639109698
35,0.4127342998981476,0.5739956172388605,0.054477832287374794,0.84525702172761
36,0.353505939245224,0.5739225712198686,0.05316481838598258,0.8357180710121886
37,0.3990674614906311,0.5732651570489408,0.05223402513442156,0.8267090620031796
38,0.3585854470729828,0.5722571219868517,0.051178060283073284,0.8229994700582935
39,0.4286261200904846,0.572081811541271,0.050572699802057516,0.8298887122416534
40,0.35473424196243286,0.5714828341855368,0.05099425136477676,0.8431372549019608
41,0.36027011275291443,0.5717896274653032,0.051358518429809104,0.8537360890302067
42,0.34314486384391785,0.5742731921110299,0.05116429606583198,0.8600953895071543
43,0.3668201267719269,0.5770197224251278,0.052572040507749655,0.8717541070482246
44,0.3328511714935303,0.5791672753834917,0.05448979952819183,0.8839427662957074
45,0.3291265070438385,0.5817677136596056,0.052980333820155864,0.8828828828828829
46,0.31741592288017273,0.5843827611395178,0.04791175572563877,0.8781134075251722
47,0.33116522431373596,0.5871877282688094,0.04887642602852807,0.8696343402225755
48,0.3229184150695801,0.5905332359386415,0.051741713309007634,0.8643349231584526
49,0.29219064116477966,0.5942439737034332,0.0551891031201666,0.8558558558558559
50,0.31952306628227234,0.5979108838568298,0.0579793374486748,0.8510863804981452
51,0.31476283073425293,0.6020014609203799,0.061697293660619976,0.8484366719660837
52,0.3124595284461975,0.6067786705624544,0.06463761223337525,0.8558558558558559
53,0.2987256944179535,0.6119649379108838,0.06807916626199649,0.8648648648648649
54,0.2934970259666443,0.6138056975894814,0.07108736649828376,0.8691043985161632
55,0.28216317296028137,0.6144631117604091,0.07217603245510804,0.8675145733969264
56,0.247083380818367,0.6136303871439007,0.07372783765707674,0.8675145733969264
57,0.2563309371471405,0.6132943754565376,0.07534379673799337,0.8664546899841018
58,0.2704586088657379,0.6128560993425858,0.07587776900411626,0.8627450980392157
59,0.24927183985710144,0.6140540540540541,0.07612400175431835,0.8664546899841018
60,0.2222612351179123,0.6145069393718042,0.07422099338362952,0.8728139904610492
61,0.27946993708610535,0.6140832724616508,0.07250471036308073,0.8749337572866984
62,0.2747606039047241,0.6119649379108838,0.07340310391964891,0.8765235824059353
63,0.2744833528995514,0.6120087655222791,0.071502276260351,0.8786433492315845
64,0.25854378938674927,0.6119357195032871,0.07064790263737901,0.8818229994700583
65,0.2594154477119446,0.6116289262235208,0.07185180457422972,0.885002649708532
66,0.26407596468925476,0.6131044558071584,0.07249083641911129,0.8834128245892952
67,0.2747895121574402,0.613382030679328,0.07430588106399287,0.8818229994700583
68,0.273316353559494,0.6138787436084734,0.07207600658103955,0.8770535241123476
69,0.26011523604393005,0.6149744338933528,0.07032557294550607,0.8728139904610492
70,0.25447598099708557,0.615427319211103,0.06589734764113003,0.8696343402225755
71,0.24015599489212036,0.6149306062819577,0.0632865984069674,0.8627450980392157
72,0.2306005209684372,0.6153834915997078,0.06000711670164947,0.8627450980392157
73,0.2382289618253708,0.616391526661797,0.05895819971072913,0.8648648648648649
74,0.25259163975715637,0.6184806428049672,0.05711078998001049,0.8733439321674615
75,0.2551623284816742,0.6205405405405405,0.05599816092049754,0.8765235824059353
76,0.19840694963932037,0.6228341855368882,0.055446621678081086,0.8855325914149443
77,0.22554215788841248,0.6244265887509131,0.05534858022206606,0.8966613672496025
78,0.2523737847805023,0.625127830533236,0.055378340345134364,0.9009009009009009
79,0.2225578874349594,0.6261796932067202,0.05646822256694966,0.9019607843137255
80,0.23147143423557281,0.6259605551497445,0.057297061850285325,0.8966613672496025
81,0.21026553213596344,0.6249963476990504,0.05791874864514378,0.8908320084790673
82,0.22665584087371826,0.6228049671292915,0.05903259279749368,0.8871224165341812
83,0.25238752365112305,0.6213148283418555,0.05847437050670272,0.8828828828828829
84,0.21177907288074493,0.6209934258582908,0.06071993864766886,0.8828828828828829
85,0.20842140913009644,0.6208035062089117,0.06120042893793638,0.8887122416534181
86,0.22662712633609772,0.6214609203798394,0.06338843916826757,0.8950715421303657
87,0.2332105040550232,0.6227173119065011,0.06589134794029021,0.8929517753047165
88,0.19614356756210327,0.6226296566837107,0.06828807652372217,0.8918918918918919
89,0.20887039601802826,0.621563184806428,0.068930006422641,0.8871224165341812
90,0.2011909931898117,0.6212563915266618,0.07303846332866282,0.8913619501854796
91,0.212140291929245,0.6213586559532506,0.07497797349358215,0.8971913089560148
92,0.1685049831867218,0.6216800584368153,0.0734198003560611,0.895601483836778
93,0.20211336016654968,0.6216654492330168,0.07378626380622434,0.9024907260201378
94,0.21296031773090363,0.6219138056975895,0.07490241103599346,0.8998410174880763
95,0.17410117387771606,0.6230387143900658,0.07885212692443719,0.9019607843137255
96,0.17747177183628082,0.6234185536888239,0.07798103883083882,0.9040805511393747
97,0.20002688467502594,0.6245288531775017,0.08895582175963282,0.899311075781664
98,0.15428100526332855,0.625682980277575,0.08818025305427471,0.8945416004239534
99,0.1750558614730835,0.6263257852447042,0.08579068029419377,0.8881822999470058
100,0.18626971542835236,0.6265741417092768,0.08475633683951958,0.8897721250662427
